County,Election District,Election Precinct,Cong,Legs,Candidate Name,Party,Office Name,Office District,Winner,Election Night Votes
16,1,1,8,14,Marylin Pierre,DEM,Judge of the Circuit Court,6,,65
16,1,1,8,14,Margaret Marie Schweitzer,DEM,Judge of the Circuit Court,6,Y,103
16,1,1,8,14,John McCarthy,DEM,State's Attorney       ,,Y,128
16,1,1,8,14,Alan S. Bowser,DEM,Clerk Circuit Court,,,30
16,1,1,8,14,Barbara H. Meiklejohn,DEM,Clerk Circuit Court,,Y,103
16,1,1,8,14,Joseph M. Griffin,DEM,Register of Wills      ,,Y,124
16,1,1,8,14,Darren Mark Popkin,DEM,Sheriff                ,,Y,120
16,1,1,8,14,Marjorie Goldman,DEM,DEM Cent Comm Female At Large,,Y,77
16,1,1,8,14,Laura Henderson,DEM,DEM Cent Comm Female At Large,,Y,54
16,1,1,8,14,Martine Laney,DEM,DEM Cent Comm Female At Large,,,37
16,1,1,8,14,Marie Kathleen Mapes,DEM,DEM Cent Comm Female At Large,,Y,62
16,1,1,8,14,Michelle Ngwafon,DEM,DEM Cent Comm Female At Large,,Y,65
16,1,1,8,14,Judith Ann Stephenson,DEM,DEM Cent Comm Female At Large,,,69
16,1,1,8,14,Darrell Anderson,DEM,DEM Cent Comm Male At Large,,,39
16,1,1,8,14,Andy Aviles,DEM,DEM Cent Comm Male At Large,,,24
16,1,1,8,14,Christopher Delgado Bradbury,DEM,DEM Cent Comm Male At Large,,,38
16,1,1,8,14,Juan Miguel Cardenas,DEM,DEM Cent Comm Male At Large,,Y,57
16,1,1,8,14,Justin W. Chappell,DEM,DEM Cent Comm Male At Large,,,30
16,1,1,8,14,Edward Fischman,DEM,DEM Cent Comm Male At Large,,,34
16,1,1,8,14,Scott E. Goldberg,DEM,DEM Cent Comm Male At Large,,Y,31
16,1,1,8,14,Dave Kunes,DEM,DEM Cent Comm Male At Large,,Y,37
16,1,1,8,14,Erwin David Rose,DEM,DEM Cent Comm Male At Large,,Y,28
16,1,1,8,14,Gabriel Sorrel,DEM,DEM Cent Comm Male At Large,,,39
16,1,1,8,14,Mimi Hassanein,DEM,DEM Cent Comm Female,14,Y,113
16,1,1,8,14,Arthur Edmunds,DEM,DEM Cent Comm Male,14,Y,112
16,1,2,6,14,"Rushern L. Baker, III",DEM,Governor / Lt. Governor,,,62
16,1,2,6,14,Ralph Jaffe,DEM,Governor / Lt. Governor,,,1
16,1,2,6,14,Ben Jealous,DEM,Governor / Lt. Governor,,Y,100
16,1,2,6,14,"James Hugh Jones, II",DEM,Governor / Lt. Governor,,,1
16,1,2,6,14,Valerie Ervin,DEM,Governor / Lt. Governor,,,2
16,1,2,6,14,Rich Madaleno,DEM,Governor / Lt. Governor,,,33
16,1,2,6,14,Alec Ross,DEM,Governor / Lt. Governor,,,10
16,1,2,6,14,Jim Shea,DEM,Governor / Lt. Governor,,,10
16,1,2,6,14,Krish O'Mara Vignarajah,DEM,Governor / Lt. Governor,,,17
16,1,2,6,14,Peter Franchot,DEM,Comptroller            ,,Y,209
16,1,2,6,14,Brian E. Frosh,DEM,Attorney General       ,,Y,210
16,1,2,6,14,Ben Cardin,DEM,U.S. Senator           ,,Y,196
16,1,2,6,14,Erik Jetmir,DEM,U.S. Senator           ,,,1
16,1,2,6,14,Chelsea Manning,DEM,U.S. Senator           ,,,13
16,1,2,6,14,Marcia H. Morgan,DEM,U.S. Senator           ,,,5
16,1,2,6,14,Jerome Jerry Segal,DEM,U.S. Senator           ,,,13
16,1,2,6,14,Richard Rikki Vaughn,DEM,U.S. Senator           ,,,4
16,1,2,6,14,Debbie Rica Wilson,DEM,U.S. Senator           ,,,7
16,1,2,6,14,Lih Young,DEM,U.S. Senator           ,,,8
16,1,2,6,14,Andrew Duck,DEM,Representative in Congress,6,,7
16,1,2,6,14,George English,DEM,Representative in Congress,6,,2
16,1,2,6,14,Chris Graves,DEM,Representative in Congress,6,,6
16,1,2,6,14,Nadia Hashimi,DEM,Representative in Congress,6,,33
16,1,2,6,14,Christopher Hearsey,DEM,Representative in Congress,6,,3
16,1,2,6,14,Roger Manno,DEM,Representative in Congress,6,,16
16,1,2,6,14,Aruna Miller,DEM,Representative in Congress,6,,82
16,1,2,6,14,David Trone,DEM,Representative in Congress,6,Y,99
16,1,2,6,14,Craig J. Zucker,DEM,State Senator          ,14,Y,215
16,1,2,6,14,Anne R. Kaiser,DEM,House of Delegates     ,14,Y,192
16,1,2,6,14,Eric Luedtke,DEM,House of Delegates     ,14,Y,143
16,1,2,6,14,Pamela Queen,DEM,House of Delegates     ,14,Y,174
16,1,2,6,14,Paul Ransom,DEM,House of Delegates     ,14,,49
16,1,2,6,14,Roger Berliner,DEM,County Executive       ,,,25
16,1,2,6,14,David Blair,DEM,County Executive       ,,,75
16,1,2,6,14,Marc Elrich,DEM,County Executive       ,,Y,61
16,1,2,6,14,Bill Frick,DEM,County Executive       ,,,9
16,1,2,6,14,Rose Krasnow,DEM,County Executive       ,,,58
16,1,2,6,14,George L. Leventhal,DEM,County Executive       ,,,19
16,1,2,6,14,Gabe Albornoz,DEM,County Council At Large,,Y,38
16,1,2,6,14,Rosemary O. Arkoian,DEM,County Council At Large,,,43
16,1,2,6,14,Marilyn Balcombe,DEM,County Council At Large,,,64
16,1,2,6,14,Charles Barkley,DEM,County Council At Large,,,38
16,1,2,6,14,Shruti Bhatnagar,DEM,County Council At Large,,,21
16,1,2,6,14,Cherri L. Branson,DEM,County Council At Large,,,18
16,1,2,6,14,Brandy H. M. Brooks,DEM,County Council At Large,,,44
16,1,2,6,14,Craig Carozza-Caviness,DEM,County Council At Large,,,8
16,1,2,6,14,Ron Colbert,DEM,County Council At Large,,,7
16,1,2,6,14,Bill Conway,DEM,County Council At Large,,,21
16,1,2,6,14,Hoan Dang,DEM,County Council At Large,,,36
16,1,2,6,14,"Tom R. Falcinelli, Jr.",DEM,County Council At Large,,,6
16,1,2,6,14,Lorna Phillips Forde,DEM,County Council At Large,,,11
16,1,2,6,14,Jill Ortman Fouse,DEM,County Council At Large,,,19
16,1,2,6,14,Loretta Jean Garcia,DEM,County Council At Large,,,27
16,1,2,6,14,Paul S. Geller,DEM,County Council At Large,,,9
16,1,2,6,14,Evan Glass,DEM,County Council At Large,,Y,42
16,1,2,6,14,Richard Gottfried,DEM,County Council At Large,,,4
16,1,2,6,14,Neil H. Greenberger,DEM,County Council At Large,,,18
16,1,2,6,14,Seth Grimes,DEM,County Council At Large,,,14
16,1,2,6,14,Ashwani Jain,DEM,County Council At Large,,,40
16,1,2,6,14,Will Jawando,DEM,County Council At Large,,Y,64
16,1,2,6,14,David V. Lipscomb,DEM,County Council At Large,,,4
16,1,2,6,14,Melissa McKenna,DEM,County Council At Large,,,20
16,1,2,6,14,Danielle Meitiv,DEM,County Council At Large,,,39
16,1,2,6,14,Hans Riemer,DEM,County Council At Large,,Y,92
16,1,2,6,14,Michele Riley,DEM,County Council At Large,,,18
16,1,2,6,14,Graciela Rivera-Oven,DEM,County Council At Large,,,13
16,1,2,6,14,Darwin Romero,DEM,County Council At Large,,,5
16,1,2,6,14,Mohammad Siddique,DEM,County Council At Large,,,31
16,1,2,6,14,Jarrett Smith,DEM,County Council At Large,,,2
16,1,2,6,14,Steve Solomon,DEM,County Council At Large,,,10
16,1,2,6,14,Chris Wilhelm,DEM,County Council At Large,,,43
16,1,2,6,14,Tiquia J. Bennett,DEM,County Council         ,2,,59
16,1,2,6,14,Craig L. Rice,DEM,County Council         ,2,Y,152
16,1,2,6,14,James A. Bonifant,DEM,Judge of the Circuit Court,6,Y,126
16,1,2,6,14,Jeannie E. Cho,DEM,Judge of the Circuit Court,6,Y,157
16,1,2,6,14,Jill Reid Cummins,DEM,Judge of the Circuit Court,6,Y,141
16,1,2,6,14,Debra L. Dwyer,DEM,Judge of the Circuit Court,6,Y,159
16,1,2,6,14,Kevin G. Hessler,DEM,Judge of the Circuit Court,6,Y,111
16,1,2,6,14,David W. Lease,DEM,Judge of the Circuit Court,6,Y,115
16,1,2,6,14,Marylin Pierre,DEM,Judge of the Circuit Court,6,,95
16,1,2,6,14,Margaret Marie Schweitzer,DEM,Judge of the Circuit Court,6,Y,151
16,1,2,6,14,John McCarthy,DEM,State's Attorney       ,,Y,196
16,1,2,6,14,Alan S. Bowser,DEM,Clerk Circuit Court,,,55
16,1,2,6,14,Barbara H. Meiklejohn,DEM,Clerk Circuit Court,,Y,136
16,1,2,6,14,Joseph M. Griffin,DEM,Register of Wills      ,,Y,190
16,1,2,6,14,Darren Mark Popkin,DEM,Sheriff                ,,Y,189
16,1,2,6,14,Marjorie Goldman,DEM,DEM Cent Comm Female At Large,,Y,118
16,1,2,6,14,Laura Henderson,DEM,DEM Cent Comm Female At Large,,Y,85
16,1,2,6,14,Martine Laney,DEM,DEM Cent Comm Female At Large,,,56
16,1,2,6,14,Marie Kathleen Mapes,DEM,DEM Cent Comm Female At Large,,Y,100
16,1,2,6,14,Michelle Ngwafon,DEM,DEM Cent Comm Female At Large,,Y,107
16,1,2,6,14,Judith Ann Stephenson,DEM,DEM Cent Comm Female At Large,,,95
16,1,2,6,14,Darrell Anderson,DEM,DEM Cent Comm Male At Large,,,57
16,1,2,6,14,Andy Aviles,DEM,DEM Cent Comm Male At Large,,,39
16,1,2,6,14,Christopher Delgado Bradbury,DEM,DEM Cent Comm Male At Large,,,46
16,1,2,6,14,Juan Miguel Cardenas,DEM,DEM Cent Comm Male At Large,,Y,79
16,1,2,6,14,Justin W. Chappell,DEM,DEM Cent Comm Male At Large,,,42
16,1,2,6,14,Edward Fischman,DEM,DEM Cent Comm Male At Large,,,46
16,1,2,6,14,Scott E. Goldberg,DEM,DEM Cent Comm Male At Large,,Y,56
16,1,2,6,14,Dave Kunes,DEM,DEM Cent Comm Male At Large,,Y,52
16,1,2,6,14,Erwin David Rose,DEM,DEM Cent Comm Male At Large,,Y,59
16,1,2,6,14,Gabriel Sorrel,DEM,DEM Cent Comm Male At Large,,,61
16,1,2,6,14,Mimi Hassanein,DEM,DEM Cent Comm Female,14,Y,172
16,1,2,6,14,Arthur Edmunds,DEM,DEM Cent Comm Male,14,Y,168
16,1,3,6,39,"Rushern L. Baker, III",DEM,Governor / Lt. Governor,,,119
16,1,3,6,39,Ralph Jaffe,DEM,Governor / Lt. Governor,,,15
16,1,3,6,39,Ben Jealous,DEM,Governor / Lt. Governor,,Y,193
16,1,3,6,39,"James Hugh Jones, II",DEM,Governor / Lt. Governor,,,6
16,1,3,6,39,Valerie Ervin,DEM,Governor / Lt. Governor,,,8
16,1,3,6,39,Rich Madaleno,DEM,Governor / Lt. Governor,,,29
16,1,3,6,39,Alec Ross,DEM,Governor / Lt. Governor,,,11
16,1,3,6,39,Jim Shea,DEM,Governor / Lt. Governor,,,12
16,1,3,6,39,Krish O'Mara Vignarajah,DEM,Governor / Lt. Governor,,,29
16,1,3,6,39,Peter Franchot,DEM,Comptroller            ,,Y,368
16,1,3,6,39,Brian E. Frosh,DEM,Attorney General       ,,Y,372
16,1,3,6,39,Ben Cardin,DEM,U.S. Senator           ,,Y,317
16,1,3,6,39,Erik Jetmir,DEM,U.S. Senator           ,,,4
16,1,3,6,39,Chelsea Manning,DEM,U.S. Senator           ,,,41
16,1,3,6,39,Marcia H. Morgan,DEM,U.S. Senator           ,,,16
16,1,3,6,39,Jerome Jerry Segal,DEM,U.S. Senator           ,,,17
16,1,3,6,39,Richard Rikki Vaughn,DEM,U.S. Senator           ,,,6
16,1,3,6,39,Debbie Rica Wilson,DEM,U.S. Senator           ,,,17
16,1,3,6,39,Lih Young,DEM,U.S. Senator           ,,,12
16,1,3,6,39,Andrew Duck,DEM,Representative in Congress,6,,6
16,1,3,6,39,George English,DEM,Representative in Congress,6,,2
16,1,3,6,39,Chris Graves,DEM,Representative in Congress,6,,17
16,1,3,6,39,Nadia Hashimi,DEM,Representative in Congress,6,,69
16,1,3,6,39,Christopher Hearsey,DEM,Representative in Congress,6,,1
16,1,3,6,39,Roger Manno,DEM,Representative in Congress,6,,39
16,1,3,6,39,Aruna Miller,DEM,Representative in Congress,6,,126
16,1,3,6,39,David Trone,DEM,Representative in Congress,6,Y,176
16,1,3,6,39,Nancy J. King,DEM,State Senator          ,39,Y,390
16,1,3,6,39,Gabriel Acevero,DEM,House of Delegates     ,39,Y,206
16,1,3,6,39,Bobby Bartlett,DEM,House of Delegates     ,39,,114
16,1,3,6,39,Andy Hoverman,DEM,House of Delegates     ,39,,56
16,1,3,6,39,Lesley J. Lopez,DEM,House of Delegates     ,39,Y,229
16,1,3,6,39,Kirill Reznik,DEM,House of Delegates     ,39,Y,211
16,1,3,6,39,Shane Robinson,DEM,House of Delegates     ,39,,220
16,1,3,6,39,Clint Sobratti,DEM,House of Delegates     ,39,,41
16,1,3,6,39,Roger Berliner,DEM,County Executive       ,,,32
16,1,3,6,39,David Blair,DEM,County Executive       ,,,150
16,1,3,6,39,Marc Elrich,DEM,County Executive       ,,Y,110
16,1,3,6,39,Bill Frick,DEM,County Executive       ,,,5
16,1,3,6,39,Rose Krasnow,DEM,County Executive       ,,,95
16,1,3,6,39,George L. Leventhal,DEM,County Executive       ,,,41
16,1,3,6,39,Gabe Albornoz,DEM,County Council At Large,,Y,79
16,1,3,6,39,Rosemary O. Arkoian,DEM,County Council At Large,,,31
16,1,3,6,39,Marilyn Balcombe,DEM,County Council At Large,,,83
16,1,3,6,39,Charles Barkley,DEM,County Council At Large,,,81
16,1,3,6,39,Shruti Bhatnagar,DEM,County Council At Large,,,25
16,1,3,6,39,Cherri L. Branson,DEM,County Council At Large,,,35
16,1,3,6,39,Brandy H. M. Brooks,DEM,County Council At Large,,,104
16,1,3,6,39,Craig Carozza-Caviness,DEM,County Council At Large,,,13
16,1,3,6,39,Ron Colbert,DEM,County Council At Large,,,2
16,1,3,6,39,Bill Conway,DEM,County Council At Large,,,27
16,1,3,6,39,Hoan Dang,DEM,County Council At Large,,,45
16,1,3,6,39,"Tom R. Falcinelli, Jr.",DEM,County Council At Large,,,13
16,1,3,6,39,Lorna Phillips Forde,DEM,County Council At Large,,,25
16,1,3,6,39,Jill Ortman Fouse,DEM,County Council At Large,,,37
16,1,3,6,39,Loretta Jean Garcia,DEM,County Council At Large,,,50
16,1,3,6,39,Paul S. Geller,DEM,County Council At Large,,,8
16,1,3,6,39,Evan Glass,DEM,County Council At Large,,Y,78
16,1,3,6,39,Richard Gottfried,DEM,County Council At Large,,,7
16,1,3,6,39,Neil H. Greenberger,DEM,County Council At Large,,,15
16,1,3,6,39,Seth Grimes,DEM,County Council At Large,,,15
16,1,3,6,39,Ashwani Jain,DEM,County Council At Large,,,73
16,1,3,6,39,Will Jawando,DEM,County Council At Large,,Y,112
16,1,3,6,39,David V. Lipscomb,DEM,County Council At Large,,,13
16,1,3,6,39,Melissa McKenna,DEM,County Council At Large,,,47
16,1,3,6,39,Danielle Meitiv,DEM,County Council At Large,,,43
16,1,3,6,39,Hans Riemer,DEM,County Council At Large,,Y,133
16,1,3,6,39,Michele Riley,DEM,County Council At Large,,,23
16,1,3,6,39,Graciela Rivera-Oven,DEM,County Council At Large,,,42
16,1,3,6,39,Darwin Romero,DEM,County Council At Large,,,12
16,1,3,6,39,Mohammad Siddique,DEM,County Council At Large,,,47
16,1,3,6,39,Jarrett Smith,DEM,County Council At Large,,,6
16,1,3,6,39,Steve Solomon,DEM,County Council At Large,,,35
16,1,3,6,39,Chris Wilhelm,DEM,County Council At Large,,,92
16,1,3,6,39,Tiquia J. Bennett,DEM,County Council         ,2,,102
16,1,3,6,39,Craig L. Rice,DEM,County Council         ,2,Y,258
16,1,3,6,39,James A. Bonifant,DEM,Judge of the Circuit Court,6,Y,238
16,1,3,6,39,Jeannie E. Cho,DEM,Judge of the Circuit Court,6,Y,288
16,1,3,6,39,Jill Reid Cummins,DEM,Judge of the Circuit Court,6,Y,280
16,1,3,6,39,Debra L. Dwyer,DEM,Judge of the Circuit Court,6,Y,290
16,1,3,6,39,Kevin G. Hessler,DEM,Judge of the Circuit Court,6,Y,216
16,1,3,6,39,David W. Lease,DEM,Judge of the Circuit Court,6,Y,206
16,1,3,6,39,Marylin Pierre,DEM,Judge of the Circuit Court,6,,186
16,1,3,6,39,Margaret Marie Schweitzer,DEM,Judge of the Circuit Court,6,Y,278
16,1,3,6,39,John McCarthy,DEM,State's Attorney       ,,Y,343
16,1,3,6,39,Alan S. Bowser,DEM,Clerk Circuit Court,,,107
16,1,3,6,39,Barbara H. Meiklejohn,DEM,Clerk Circuit Court,,Y,233
16,1,3,6,39,Joseph M. Griffin,DEM,Register of Wills      ,,Y,332
16,1,3,6,39,Darren Mark Popkin,DEM,Sheriff                ,,Y,337
16,1,3,6,39,Marjorie Goldman,DEM,DEM Cent Comm Female At Large,,Y,180
16,1,3,6,39,Laura Henderson,DEM,DEM Cent Comm Female At Large,,Y,197
16,1,3,6,39,Martine Laney,DEM,DEM Cent Comm Female At Large,,,124
16,1,3,6,39,Marie Kathleen Mapes,DEM,DEM Cent Comm Female At Large,,Y,145
16,1,3,6,39,Michelle Ngwafon,DEM,DEM Cent Comm Female At Large,,Y,171
16,1,3,6,39,Judith Ann Stephenson,DEM,DEM Cent Comm Female At Large,,,170
16,1,3,6,39,Darrell Anderson,DEM,DEM Cent Comm Male At Large,,,133
16,1,3,6,39,Andy Aviles,DEM,DEM Cent Comm Male At Large,,,98
16,1,3,6,39,Christopher Delgado Bradbury,DEM,DEM Cent Comm Male At Large,,,96
16,1,3,6,39,Juan Miguel Cardenas,DEM,DEM Cent Comm Male At Large,,Y,145
16,1,3,6,39,Justin W. Chappell,DEM,DEM Cent Comm Male At Large,,,97
16,1,3,6,39,Edward Fischman,DEM,DEM Cent Comm Male At Large,,,57
16,1,3,6,39,Scott E. Goldberg,DEM,DEM Cent Comm Male At Large,,Y,114
