OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
16,22,1,21,0,10117509.25,22630.55381,251,8,20,5,4,13,13-08,13008,13,8,22630.55413,149,ELEMENTARY SCHOOLS,13-08 East Silver Spring ES,129,1308010.125,482814.2813,13-08,East Silver Spring ES, 631 Silver Spring Ave Silver Spring MD 20910,-77.01521059,38.99239501,Silver Spring MD 20910,631 Silver Spring Ave,-77.01521059,22630.55413,10117509.3,38.99239501
17,23,1,22,0,14660424.01,20083.15693,250,8,18,1,3,13,13-39,13039,13,39,20083.15546,218,Elementary School,13-39 Rock Creek Forest ES,143,1297893.853,482871.6624,13-39,Rock Creek Forest ES, 8330 Grubb Rd Chevy Chase MD 20815,-77.05080336,38.99254252,Chevy Chase MD 20815,8330 Grubb Rd,-77.05080336,20083.15546,14660424.21,38.99254252
18,1,1,0,0,17885188.94,21911.90925,271,8,16,1,3,7,27-Jul,7027,7,27,21911.90956,185,PRIVATE,07-27 St.Dunstan's Episcopal Ch,77,1281219.114,470170.8277,27-Jul,St. Dunstan's Episcopal Church, 5450 Massachusetts Ave Bethesda MD 20816,-77.10941757,38.9576295,Bethesda MD 20816,5450 Massachusetts Ave,-77.10941757,21911.90956,17885189.17,38.9576295
19,2,1,1,0,14335332.43,18101.89046,270,8,16,1,3,7,24-Jul,7024,7,24,18101.89052,183,PRIVATE,07-24 Little Flower School Hall,74,1280505.728,470945.6032,24-Jul,Little Flower School Hall, 5601 Massachusetts Ave Bethesda MD 20816,-77.11192963,38.95975444,Bethesda MD 20816,5601 Massachusetts Ave,-77.11192963,18101.89052,14335332.65,38.95975444
20,3,1,2,0,11983193.66,18244.60603,269,8,16,1,3,7,7-Jul,7007,7,7,18244.60538,16,ELEMENTARY SCHOOLS,07-07 Westbrook ES,64,1283095.75,470475.1563,7-Jul,Westbrook ES, 5110 Allan Ter Bethesda MD 20816,-77.10281933,38.95847109,Bethesda MD 20816,5110 Allan Ter,-77.10281933,18244.60538,11983193.93,38.95847109
21,4,1,3,0,4455604.678,12631.30227,268,8,16,1,3,7,26-Jul,7026,7,26,12631.30163,184,PRIVATE,07-26 Friendship Heights Village Ctr,245,1287035.175,472420.1938,26-Jul,Friendship Heights Village Center, 4433 S Park Ave Chevy Chase MD 20815,-77.08897229,38.96382298,CHEVY CHASE MD 20815,4433 S PARK AVE,-77.08897229,12631.30163,4455604.603,38.96382298
22,5,1,4,0,50356494.85,34038.07245,267,8,16,1,3,7,18-Jul,7018,7,18,34038.07248,181,PRIVATE,07-18 Washington Waldorf School,68,1277720.395,468278.2182,18-Jul,Washington Waldorf School, 4800 Sangamore Rd Bethesda MD 20816,-77.12171243,38.95242075,Bethesda MD 20816,4800 Sangamore Rd,-77.12171243,34038.07248,50356494.66,38.95242075
23,42,1,41,0,27155017.11,20862.93089,231,8,16,1,3,7,19-Jul,7019,7,19,20862.93096,6,MIDDLE SCHOOLS,07-19 North Bethesda MS,70,1276853,487277.0312,19-Jul,North Bethesda MS,8935 Bradmoor Dr Bethesda MD 20817,-77.12485389,39.00458276,Bethesda MD 20817,8935 Bradmoor Dr,-77.12485389,20862.93096,27155017.21,39.00458276
24,43,1,42,0,25728870.03,22655.01142,230,8,20,5,4,13,13-14,13014,13,14,22655.01103,198,PRIVATE,13-14 St.Luke Lutheran Ch,132,1305541.063,487392.9127,13-14,St. Luke Luthern Church, 9100 Colesville Rd Silver Spring MD 20910,-77.02390185,39.00496511,Silver Spring MD 20910,9100 Colesville Rd,-77.02390185,22655.01103,25728869.71,39.00496511
25,44,1,43,0,26475916.08,29830.51264,229,8,20,5,4,13,13-15,13015,13,15,29830.51325,115,MIDDLE SCHOOLS,13-15 Eastern MS,256,1312081.625,489898.1563,13-15,Eastern MS, 300 University Blvd E Silver Spring MD 20901,-77.00088584,39.01184618,Silver Spring MD 20901,300 E University Blv,-77.00088584,29830.51325,26475916.05,39.01184618
26,45,1,44,0,15158917,21042.25511,228,8,20,5,5,5,14-May,5014,5,14,21042.25453,130,ELEMENTARY SCHOOLS,05-14 JoAnn LeLeck ES,154,1316542.125,488992.8125,14-May,JoAnn LeLeck at Broad Acres ES, 710 Beacon Rd Silver Spring MD 20903,-76.98518844,39.00935945,Silver Spring MD 20903,710 Beacon Rd,-76.98518844,21042.25453,15158917.05,39.00935945
27,50,1,49,0,48887711.44,37030.59018,223,6,16,1,3,10,3-Oct,10003,10,3,37030.59046,20,ELEMENTARY SCHOOLS,10-03 Seven Locks ES,112,1266469.245,490280.1415,3-Oct,Seven Locks ES, 9500 Seven Locks Rd Bethesda MD 20817,-77.16141253,39.01278367,Bethesda MD 20817,9500 Seven Locks Rd,-77.16141253,37030.59046,48887711.74,39.01278367
28,51,1,50,0,37902372.2,37687.54651,222,8,18,1,3,13,13-03,13003,13,3,37687.54655,7,MIDDLE SCHOOLS,13-03 Silver Creek MS,223,1291178,491537.9998,13-03,Silver Creek Middle School,3701 Saul Rd Kensington MD 20895,-77.07445704,39.016325,KENSINGTON MD 20895,3701 Saul Rd,-77.07445704,37687.54655,37902372.57,39.016325
29,52,1,51,0,21771483.22,20131.66197,221,8,16,1,3,7,20-Jul,7020,7,20,20131.66118,229,ELEMENTARY SCHOOL,07-20 Ashburton ES,209,1276144.66,492705.9197,20-Jul,Ashburton Elementary School,6314 Lone Oak Dr Bethesda MD 20817,-77.12737316,39.01948611,Bethesda MD 20817,6314 Lone Oak Dr,-77.12737316,20131.66118,21771483.2,39.01948611
30,53,1,52,0,21480312.92,20990.1875,220,8,18,5,4,13,13-58,13058,13,58,20990.18731,220,Elementary School,13-58 Flora M. Singer ES,155,1296734,492295.9999,13-58,Flora M. Singer ES, 2600 Hayden Dr Silver Spring MD 20902,-77.05490409,39.01841704,Silver Spring MD 20902,2600 Hayden Dr,-77.05490409,20990.18731,21480312.95,39.01841704
31,54,1,53,0,12471474.99,16783.9694,219,8,20,5,4,13,13-19,13019,13,19,16783.96919,199,PRIVATE,13-19 Margaret Schweinhaut Snr Ctr,227,1304887.731,491952.6243,13-19,Margaret Schweinhaut Senior Center, 1000 Forest Glen Rd Silver Spring MD 20901,-77.02620552,39.01748419,SILVER SPRING MD 20901,1000 FOREST GLEN RD,-77.02620552,16783.96919,12471475.02,39.01748419
32,55,1,54,0,15513737.42,16237.74621,218,8,18,5,4,13,13-24,13024,13,24,16237.74592,200,PRIVATE,13-24 Holy Cross Resource Inst,226,1302423.791,491914.8542,13-24,Holy Cross Resource Institute, 9805 Dameron Dr Silver Spring MD 20902,-77.03487754,39.01737822,SILVER SPRING MD 20902,9805 DAMERON DR,-77.03487754,16237.74592,15513737.51,39.01737822
